,Completed
10000,True
10001,True
10002,True
10003,True
10004,True
10007,True
10010,True
10011,True
10012,True
10013,True
10014,True
10016,True
10017,True
10018,True
10019,True
10021,True
10022,True
10023,True
10024,True
10025,True
10031,True
10039,True
10042,True
10048,True
10051,True
10052,True
10053,True
10054,True
10055,True
10056,True
10057,True
10058,True
10059,True
10060,True
10061,True
10062,True
10063,True
10064,True
10065,True
10066,True
10067,True
10068,True
10070,True
10071,True
10072,True
10073,True
10074,False
10075,True
10076,True
10082,True
10083,True
10084,True
10085,True
10086,True
10087,True
10088,True
10089,True
10090,True
10091,True
10093,True
10094,True
10095,True
10096,True
10097,True
10098,True
10099,True
10100,True
10101,True
10102,True
10103,True
10104,True
10105,True
10107,True
10108,True
10109,True
10110,True
10111,True
10112,True
10113,True
10114,True
10115,True
10116,True
10117,True
10118,True
10119,True
10120,True
10121,True
10122,True
10123,True
10124,True
10125,True
10126,True
10127,True
10129,True
10130,True
10131,True
10132,True
10133,True
10134,True
10136,True
10137,True
10138,True
10139,True
10140,True
10141,True
10142,True
10143,True
10144,True
10145,True
10146,True
10147,True
10148,True
10149,True
10150,True
10151,True
10152,True
10153,True
10154,True
10155,True
10156,True
10157,True
10158,True
10159,True
10160,True
10163,True
10164,True
10165,True
10166,True
10167,True
10168,True
10169,True
10170,True
10171,True
10172,True
10173,True
10174,True
10175,True
10176,True
10177,True
10178,True
10179,True
10180,True
10181,True
10182,True
10183,True
10184,True
10185,True
10186,True
10187,True
10188,True
10190,True
10191,True
10192,True
10193,True
10194,True
10195,True
10196,True
10197,True
10198,True
10199,True
10200,True
10201,True
10202,True
10203,True
10204,True
10205,True
10206,True
10207,True
10208,True
10209,True
10210,True
10211,True
10213,True
10214,True
10215,True
10217,True
10220,True
10221,True
10222,True
10223,True
10225,True
10226,True
10227,True
10228,True
10229,True
10230,True
10231,True
10232,True
10233,True
10234,True
10235,True
10236,True
10237,True
10238,True
10239,True
10240,True
10241,True
10242,True
10243,True
10244,True
10245,True
10246,True
10247,True
10249,True
10250,True
10251,True
10252,True
10253,True
10254,True
10255,True
10256,True
10257,True
10258,True
10259,True
10262,True
10263,True
10264,True
10265,True
10266,True
10267,True
10268,True
10269,True
10270,True
10271,True
10273,True
10274,True
10275,True
10276,True
10278,True
10279,True
10280,True
10281,True
10282,True
10283,True
10284,True
10286,True
10287,True
10288,True
10289,True
10291,True
10293,True
10294,True
10295,True
10296,True
10297,True
10298,True
10299,True
10300,True
10301,True
10302,True
10303,True
10304,True
10305,True
10306,True
10307,True
10308,True
10310,True
10311,True
10312,True
10313,True
10314,True
10315,True
10317,True
10318,True
10320,True
10321,True
10322,True
10323,True
10324,True
10325,True
10326,True
10327,True
10328,True
10329,True
10330,True
10331,True
10332,True
10333,True
10334,True
10335,True
10336,True
10337,True
10338,True
10339,True
10340,True
10341,True
10342,True
10343,True
10344,True
10346,True
10347,True
10348,True
10349,True
10350,True
10351,True
10352,True
10354,True
10356,True
10357,True
10358,True
10359,True
10360,True
10361,True
10362,True
10363,True
10364,True
10365,True
10366,True
10367,True
10368,True
10369,True
10370,True
10372,True
10373,True
10374,True
10376,True
10377,True
10378,True
10379,True
10380,True
10381,True
10382,True
10383,True
10384,True
10385,True
10386,True
10387,True
10388,True
10389,True
10390,True
10391,True
10393,True
10394,True
10395,True
10396,True
10397,True
10398,True
10399,True
10400,True
10401,True
10402,True
10403,True
10404,True
10405,True
10407,True
10408,True
10409,True
10410,True
10411,True
10412,True
10413,True
10414,True
10415,True
10416,True
10417,True
10418,True
10419,True
10420,True
10421,True
10422,True
10423,True
10424,True
10425,True
10426,True
10427,True
10428,True
10429,True
10430,True
10431,True
10432,True
10433,True
10435,True
10436,True
10438,True
10439,True
10440,True
10441,True
10442,True
10443,True
10444,True
10445,True
10446,True
10447,True
10448,True
10449,True
10450,True
10451,True
10452,True
10453,True
10454,True
10455,True
10456,True
10457,True
10458,True
10460,True
10461,True
10462,True
10463,True
10465,True
10466,True
10467,True
10468,True
10470,True
10471,True
10472,True
10473,True
10474,True
10475,True
10476,True
10477,True
10478,True
10479,True
10480,True
10481,True
10482,True
10483,True
10484,True
10485,True
10486,True
10487,True
10488,True
10489,True
10490,True
10491,True
10492,True
10493,True
10494,True
10495,True
10496,True
10497,True
10498,True
10499,True
10500,True
10501,True
10502,True
10503,True
10504,True
10505,True
10506,True
10507,True
10508,True
10509,True
10510,True
10511,True
10512,True
10513,True
10514,True
10515,True
10516,True
10518,True
10519,True
10520,True
10521,True
10522,True
10523,True
10524,False
10526,True
10527,True
10528,True
10529,True
10530,True
